question,option_a,option_b,option_c,option_d,correct_answer,explanation
"In vector algebra, what fundamental property does the addition of two vectors r and s demonstrate?","r + s = s + r (commutative)","r + s = r · s (dot product)","r + s = 0 (null result)","r + s = r × s (cross product)","A","Vector addition follows the commutative property, meaning the order of addition doesn't matter: r + s = s + r. This property holds true both algebraically and geometrically. When you move along vector r then s, you reach the same endpoint as moving along s then r. This fundamental principle is essential in vector spaces and forms the basis for many vector operations in physics and engineering."
"For scalar multiplication of a vector r, which property is always satisfied?","a · r = r · a (commutative)","a · r = r + a (addition)","a · r = |r| (magnitude)","a · r = r/a (division)","A","Scalar multiplication of vectors is both associative and commutative, meaning a · r = r · a. When you multiply a vector by a scalar, you're scaling the vector's magnitude while preserving its direction (if positive scalar) or reversing it (if negative scalar). This operation is fundamental in vector algebra and is used extensively in physics for representing quantities like force, velocity, and displacement."
"How do you calculate the magnitude of a 2D vector r = ai + bj?","a + b","√(a² + b²)","a² + b²","ab","B","The magnitude (or length) of a vector r = ai + bj is calculated using the Pythagorean theorem: |r| = √(a² + b²). This represents the straight-line distance from the origin to the point (a, b) in the coordinate plane. The magnitude is always a non-negative scalar value and gives us the 'size' of the vector regardless of its direction. This calculation is fundamental in determining distances, speeds, and other physical quantities."
"What is the mathematical formula for the dot product of two vectors u and s?","u · s = |u||s|sin θ","u · s = |u||s|cos θ","u · s = |u + s|","u · s = |u - s|","B","The dot product of two vectors u and s is defined as u · s = |u||s|cos θ, where θ is the angle between the vectors. This formula combines both the magnitudes of the vectors and the cosine of the angle between them. The dot product results in a scalar value and is used to determine the angle between vectors, project one vector onto another, and test for orthogonality. It's a fundamental operation in vector algebra with applications in physics, computer graphics, and engineering."
"When two vectors are orthogonal (perpendicular), what is the value of their dot product?","1","0","-1","∞","B","Two vectors are orthogonal (perpendicular) if and only if their dot product equals zero. This follows directly from the dot product formula u · s = |u||s|cos θ: when θ = 90°, cos(90°) = 0, making the entire product zero. This property is extremely useful for testing orthogonality and is fundamental in defining orthogonal coordinate systems, orthogonal projections, and in many applications in linear algebra and geometry."
"How do you calculate the scalar projection of vector s onto vector u?","(u · s) / |u|","(u · s) / |s|","|u||s|","(s · u) / |s|","A","The scalar projection of vector s onto vector u is calculated as (u · s) / |u|. This measures how much of vector s lies in the direction of vector u, giving a signed scalar value. If the result is positive, s has a component in the same direction as u; if negative, it's in the opposite direction. This concept is crucial in physics for calculating work done by forces, in computer graphics for lighting calculations, and in many engineering applications."
"What essential property must a set of basis vectors satisfy?","Linearly dependent","Linearly independent","Orthogonal","Unit magnitude","B","A set of basis vectors must be linearly independent, meaning no vector in the set can be expressed as a linear combination of the others. This ensures that the basis vectors span the vector space efficiently and that every vector in the space has a unique representation. While orthogonality is desirable for computational convenience, it's not required for a set to form a basis. Linear independence is the fundamental requirement that guarantees the basis can represent all vectors in the space uniquely."
"If basis vectors b₁ and b₂ are orthogonal, what is the value of their dot product?","b₁ · b₂ = 1","b₁ · b₂ = 0","b₁ · b₂ = -1","b₁ · b₂ = |b₁||b₂|","B","When basis vectors b₁ and b₂ are orthogonal, their dot product b₁ · b₂ = 0. Orthogonal basis vectors are perpendicular to each other, which simplifies many calculations in vector spaces. While not required for a basis, orthogonal bases (and especially orthonormal bases where the vectors also have unit length) make computations much easier, particularly for projections and coordinate transformations. This property is extensively used in coordinate systems and signal processing."
"What method is used to represent a vector in terms of a new basis?","Cross product","Vector projections","Matrix addition","Vector subtraction","B","To represent a vector in terms of a new basis, we use vector projections. Each component of the vector in the new basis is found by projecting the original vector onto each basis vector. This process involves calculating the scalar projection of the vector onto each basis vector, which gives the coordinates in the new coordinate system. This technique is fundamental in coordinate transformations, principal component analysis, and many areas of applied mathematics and engineering."
"What fundamental property does the identity matrix I satisfy for any matrix A?","A I = A","A I = 0","A I = I A⁻¹","A I = 2A","A","The identity matrix I satisfies the property that multiplying any matrix A by I leaves A unchanged: AI = A and IA = A. The identity matrix acts like the number 1 in scalar arithmetic, serving as the multiplicative identity in matrix algebra. It has ones on the main diagonal and zeros elsewhere. This property is fundamental to matrix algebra and is essential for defining matrix inverses, solving linear systems, and understanding linear transformations."
