question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Which of the following best defines Artificial Intelligence (AI) according to the lecture material?","The set of all tasks where a computer can make decisions based on data.","The field of study that focuses on human-interactive robotics.","The set of all tasks where a computer can make decisions (rule-based or data-driven).","A system that uses neural networks to make predictions.","C","Artificial Intelligence is defined as the set of all tasks in which a computer can make decisions, which can be either rule-based or data-driven. This is a broader definition compared to machine learning, which specifically focuses on data-driven decisions. The lecture differentiates between these two concepts, with AI being the more general term. [cite: 15]"
"What is the key difference between Artificial Intelligence and Machine Learning as per the lecture notes?","AI is a sub-field of ML, focusing on decision-making.","ML is the broader field, encompassing all computer-based decision-making.","AI is a more general term for computer decision-making, while ML is a sub-field that specifically uses data.","ML is about picking up patterns, while AI is about creating them.","C","The lecture clearly defines AI as a broader concept encompassing all tasks where a computer makes decisions, whether through rules or data. In contrast, Machine Learning is a specific branch of AI that focuses exclusively on making decisions based on data. Therefore, ML is a subset of AI. [cite: 15, 16, 19]"
"Machine Learning is described as a combination of which two fields?","Robotics and Logic","Mathematics and Coding","Cybernetics and Control","Algorithms and Features","B","According to the presentation, the equation for machine learning is given as ""MACHINE LEARNING = MATHS + CODING"". This highlights that both mathematical principles and programming skills are fundamental to the field. The lecture also mentions that the amount of coding can vary depending on the job. [cite: 13, 349]"
"A property or characteristic of data that a model can use to make predictions is known as a(n):","Algorithm","Feature","Model","Prediction","B","A feature is explicitly defined as ""any property or characteristic of the data that the model can use to make predictions."" Features are critical components of a machine learning model, as they provide the information used to identify patterns and make future predictions. Examples from the lecture include email size or the day of the week. [cite: 51]"
"The process used to build a model is called a(n):","Feature","Prediction","Algorithm","Bias","C","An algorithm is defined as a procedure or a set of steps used to solve a problem. In the context of machine learning, the lecture specifies that an algorithm is the process used to build the model. The model is then used for making predictions. [cite: 25, 27, 30]"
"What are the three main families of machine learning models mentioned in the lecture?","Linear, Non-linear, and Neural Networks","Regression, Classification, and Clustering","Supervised, Unsupervised, and Reinforcement Learning","L1 Norm, L2 Norm, and Log Loss","C","The lecture categorizes machine learning models into three main families based on how they operate. These are supervised learning, unsupervised learning, and reinforcement learning. The different types of models within these families are discussed in detail later in the lecture. [cite: 70]"
"What is the key characteristic of supervised learning?","It works with unlabeled data.","It involves an agent navigating an environment with rewards.","It uses models that predict numerical data.","It works with labeled data.","D","Supervised learning is defined as the branch of machine learning that specifically works with labeled data. Labeled data contains a tag or label, such as a category or a number, which the model learns to predict from the input features. [cite: 72, 76]"
"A regression model is used to predict what type of data?","Categorical data","Numerical data","Unlabeled data","Temporal data","B","Regression models are specifically designed to predict numerical data. The output of a regression model is a number. The lecture provides an example of a housing price model, where the predicted price is a number. [cite: 79, 80, 88]"
"A classification model is used to predict what type of data?","Numerical data","Unlabeled data","Categorical data","Raw data","C","Classification models are used to predict categorical data. The output of a classification model is a category or a state from a finite set of possibilities, such as 'spam' or 'ham', or 'cat' or 'dog'. [cite: 81, 82, 90, 93]"
"Which type of data comes with a tag or label?","Unlabeled data","Numerical data","Categorical data","Labeled data","D","The lecture defines labeled data as ""data that comes with a tag, or label."" This label can be a type, like 'dog' or 'cat', or a number, such as a weight. This type of data is fundamental to supervised learning. [cite: 72, 74]"
"Which of the following is NOT a main branch of unsupervised learning mentioned in the lecture?","Clustering","Dimensionality reduction","Generative learning","Reinforcement learning","D","The lecture identifies three main branches of unsupervised learning: clustering, dimensionality reduction, and generative learning. Reinforcement learning is a separate family of machine learning models that operates differently, without labeled data or a fixed dataset. [cite: 95]"
"What is the purpose of clustering algorithms?","To predict numerical data.","To generate new data points that resemble existing data.","To group data into similar clusters based on similarity.","To simplify data by reducing the number of features.","C","Clustering algorithms are used to group data points into clusters based on their similarities. This is a core concept in unsupervised learning, as it helps to discover patterns in unlabeled datasets. The lecture mentions examples like K-means and hierarchical clustering. [cite: 96]"
"What is the purpose of dimensionality reduction algorithms?","To predict a category or state.","To simplify data by describing it with fewer features.","To group similar data points together.","To generate new images and videos.","B","Dimensionality reduction algorithms are used to simplify data by faithfully describing it with fewer features. This can be a useful preprocessing step to reduce the complexity of a dataset before applying other machine learning techniques. [cite: 96, 101, 103]"
"Generative adversarial networks (GANs) are a popular example of which type of machine learning?","Reinforcement learning","Supervised learning","Generative learning","Dimensionality reduction","C","The lecture highlights that generative adversarial networks (GANs) are a popular generative algorithm. Generative learning is a branch of unsupervised learning that creates new data points, such as ultra-realistic faces, images, or videos, that resemble the existing data. [cite: 108, 109]"
"In reinforcement learning, what guides the agent to make the right decisions?","A pre-defined dataset","Labeled data","Rewards and punishments","A regression model","C","Reinforcement learning is described as a type of machine learning where an agent navigates an environment to perform a task. The environment provides rewards and punishments to guide the agent to make the correct decisions and reach its goal. [cite: 114]"
"What is the "golden rule" of testing and training machine learning models?","You must use a validation set.","Thou shalt never use your testing data for training.","The testing set should be 50% of the data.","Always use the L1 norm for regularization.","B","The lecture explicitly states a ""GOLDEN RULE"": ""Thou shalt never use your testing data for training."" This rule is critical for accurately evaluating a model's performance on unseen data and preventing overfitting. Breaking this rule can lead to misleading performance metrics. [cite: 207]"
"What is the purpose of a validation set?","To train all of our models.","To make decisions on which model to use.","To check how well our model did at the end.","To collect new, unlabeled data.","B","The validation set is introduced as a way to choose the best model. It is a portion of the dataset used specifically for making decisions on which model to use after they have been trained on the training set. This helps prevent overfitting to the testing data. [cite: 208, 210]"
"What is the term for a model that has an error because it has been built to be too simple for the data?","Overfitting","Regularization","Underfitting","Vanishing gradient","C","While not explicitly defined, the concept is addressed in the context of avoiding overfitting and finding the right model complexity. An underfit model is one that is too simple and fails to capture the underlying trend of the data, resulting in poor performance on both training and testing sets. This is contrasted with overfitting, where a model is too complex."
"What is overfitting in the context of machine learning?","A model that is too simple to capture the data's patterns.","A model that performs well on the training data but poorly on new, unseen data.","A technique to simplify a complex model.","The process of a model learning from new data over time.","B","Overfitting is a common problem in machine learning where a model learns the training data too well, including the noise and random fluctuations, and as a result, performs poorly when it encounters new, unseen data. The lecture discusses methods like regularization and the use of validation sets to combat this issue. [cite: 208, 211]"
"The L1 norm and L2 norm are used as a way to measure a model's:","Accuracy","Performance","Complexity","Training time","C","The L1 and L2 norms are presented in the lecture as methods for measuring how complex a model is. By calculating the absolute values (L1) or squared values (L2) of a model's weights, these norms provide a numerical way to quantify complexity. This is important for regularization techniques to prevent overfitting. [cite: 212, 213, 214]"
