question,option_a,option_b,option_c,option_d,correct_answer,explanation
"What is the fundamental difference between fully-actuated and underactuated robotic systems?","Fully-actuated have more sensors","Fully-actuated can control all degrees of freedom independently","Underactuated systems are always faster","Fully-actuated systems require less power","B","Fully-actuated systems have enough actuators to independently control all degrees of freedom, while underactuated systems have fewer actuators than degrees of freedom. This fundamental difference affects control strategies, as underactuated systems cannot follow arbitrary trajectories and must exploit natural dynamics for control."
"In the control-affine form q̈ = f₁(q,q̇,t) + f₂(q,q̇,t)u, what does underactuation mean mathematically?","f₁ = 0","rank[f₂] < dim(q)","f₂ is invertible","u is bounded","B","Underactuation occurs when rank[f₂(q,q̇,t)] < dim(q), meaning the control input matrix f₂ doesn't have full rank. This indicates there are fewer independent control directions than state dimensions, making the system unable to accelerate in arbitrary directions in the configuration space."
"What makes the simple pendulum equation mℓθ̈ + mgℓsinθ = τ nonlinear?","The mass term m","The length ℓ","The sin(θ) term","The torque τ","C","The sin(θ) term makes the pendulum equation nonlinear because sine is a nonlinear function of θ. Linear systems have variables and their derivatives appearing only to the first power without products or nonlinear functions. This nonlinearity captures the true physics of large-angle pendulum motion."
"For a serial robotic manipulator with n joints, the system is by definition:","Always underactuated","Always fully-actuated","Sometimes underactuated","Neither fully nor underactuated","B","A serial robotic manipulator with n joints has n actuators (one per joint) and n degrees of freedom, making it fully-actuated by definition. Each joint can be controlled independently, allowing the manipulator to follow arbitrary trajectories within its workspace."
"What does the Euler-Lagrangian framework L = T - V primarily provide?","Energy conservation","Equations of motion for mechanical systems","Stability analysis","Control law design","B","The Euler-Lagrangian framework uses the Lagrangian L = T - V (kinetic minus potential energy) to systematically derive equations of motion for mechanical systems. The Euler-Lagrange equation d/dt(∂L/∂q̇) - ∂L/∂q = τ provides a principled way to obtain the governing differential equations."
"In feedback linearization, what is the main requirement for a fully-actuated system?","Large gain values","Accurate knowledge of system parameters","Fast actuators","Expensive sensors","B","Feedback linearization requires accurate knowledge of the mass matrix M(q), Coriolis/centripetal matrix C(q,q̇), and gravity vector G(q). The control law u = M(q)v + C(q,q̇)q̇ + G(q) cancels nonlinearities, but parameter uncertainties can lead to poor performance or instability."
"What fundamental property must basis vectors satisfy in a vector space?","Orthogonality","Unit magnitude","Linear independence","Real-valued components","C","Basis vectors must be linearly independent, meaning no vector in the set can be expressed as a linear combination of others. This ensures the basis spans the space efficiently and every vector has a unique representation. Orthogonality is desirable but not required for a basis."
"For energy-shaping control of the pendulum at the upright position (θ = π), what does the control law aim to achieve?","Minimize energy","Maximize energy","Shape energy to desired value","Conserve total energy","C","Energy-shaping control designs the control input to modify the system's total energy to a desired value. For stabilizing the upright pendulum, the controller shapes the energy landscape so the upright position becomes a stable equilibrium with the desired energy level."
"What is the primary advantage of energy-based control methods?","Lower computational cost","Physical insight and intuitive design","Always guarantee stability","Require fewer sensors","B","Energy-based control methods provide physical insight by working with fundamental quantities like kinetic and potential energy. This leads to intuitive controller designs that respect the system's natural dynamics and often result in smooth, efficient motions rather than aggressive trajectory tracking."
"In the double pendulum equations M(q)q̈ + C(q,q̇)q̇ + G(q) = Bu, what does B represent?","Damping matrix","Input matrix mapping torques to joints","Bias vector","Bandwidth parameter","B","B is the input matrix that maps the control torques u to the generalized coordinates. For a double pendulum with actuators at both joints, B = I (identity matrix). The structure of B determines which degrees of freedom are directly actuated."
